RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
2.2,5,40,40,80,178325,60.72219409444035,164293.14422315653
2.1,8,70,70,44,152325,105.86567479346064,170101.7164604328
1.9,15,130,130,64,165325,190.8377664868415,188880.05040525066
2.8,14,125,125,62,194325,286.81804452676727,191132.43737431295
6.7,7,65,65,42,184325,210.9827346831329,183632.45435314445
1.5,11,95,95,80,150325,128.49419838154085,176293.63886784547
1.6,9,80,80,56,178325,115.53439593781738,173455.82346666558
1.9,7,60,60,80,159325,86.08384042547863,166466.52260915548
1.4,17,145,145,48,195325,208.80991590456094,199758.49578123403
2.9,13,110,110,48,149325,180.43274433663314,191520.52900091096
1.9,15,130,130,82,163325,186.81965767935498,189070.70611719182
1.4,5,40,40,84,168325,54.07108135645644,168981.85576889385
4.2,16,140,140,76,141325,251.710667887972,220081.42577476558
3.0,5,45,45,44,124325,72.25428608620017,159121.94797248536
1.6,10,90,90,80,125325,119.82638896681331,171670.1602621873
2.6,7,60,60,54,160325,95.89396548633009,164434.42391856402
1.9,16,140,140,44,166325,209.8398003390944,193179.07540003146
1.4,11,95,95,76,166325,129.44817468241538,176000.96103994298
4.5,15,135,135,78,164325,255.86734302125848,221765.6250762072
5.6,6,55,55,68,110325,106.20404063776014,170638.8012580719
6.8,6,55,55,72,101325,113.80698002101208,180542.08155322552
2.7,7,65,65,64,166325,104.33329810839224,166398.47884400855
6.8,16,140,140,56,189325,336.7006288593072,262715.28036688385
6.2,15,130,130,60,170325,291.5810969627031,242565.86600103584
2.4,4,35,35,58,110325,51.247445954213156,162487.85715255828
4.6,9,75,75,78,139325,139.93785398224648,184207.08762315375
2.6,9,75,75,54,174325,121.71708660740775,169271.81849382745
6.5,14,125,125,42,179325,292.0139690269742,243774.45468855932
2.8,11,95,95,44,195325,221.89981632794021,175991.5808733529
6.1,7,65,65,44,134325,137.77291468752273,182068.8050063193
1.5,12,105,105,78,170325,145.1363260201628,182303.06882535087
2.9,13,110,110,84,193325,182.7085555764596,191711.41922615588
1.3,17,145,145,72,199325,276.4905448901763,190038.3794208576
6.1,10,90,90,76,176325,198.77052259302457,210236.08786891517
2.4,7,65,65,42,178325,104.28684534851881,165926.30506421017
4.3,15,130,130,58,113325,229.79118332311438,219483.23249408818
4.9,10,90,90,76,124325,167.48957308979305,198927.185656073
3.4,8,70,70,52,198325,173.2941411276776,170291.73594871812
4.8,7,60,60,70,147325,115.61256595932647,171681.6786677582
4.4,4,35,35,46,103325,61.861828777967794,162373.61163325384
5.9,15,135,135,42,189325,416.093785001898,228507.53209921287
2.2,10,85,85,60,105325,120.86741623043655,174039.92250599762
2.5,7,65,65,68,171325,102.23517213788323,165943.84750106244
1.3,5,45,45,64,167325,61.44479383298307,174703.60118763358
5.1,15,135,135,60,134325,262.60549675921555,229458.61681308542
5.7,15,135,135,82,148325,277.2235869907601,240890.67556976707
5.2,17,145,145,78,184325,301.04320200466105,240516.62258018777
5.2,5,45,45,78,149325,89.0047939106627,164754.31809969756
3.1,12,105,105,40,193325,253.33619311856347,185031.2525441734
4.1,10,90,90,40,145325,165.35810789971796,186480.40751170227
1.5,16,140,140,44,195325,281.40248251205117,188547.9681191222
4.0,9,80,80,74,133325,139.6524898614462,180894.16724681226
2.3,5,40,40,48,120325,59.57117100465162,161485.84871417153
4.4,9,80,80,74,117325,141.35973102313883,186067.5065765769
5.8,4,35,35,40,194325,108.06213874519116,158639.95304762325
2.9,7,60,60,50,173325,100.73278852747228,165865.52638129465
1.4,14,120,120,84,169325,162.41912096781152,183284.66502762403
2.1,7,60,60,64,148325,88.63937843413115,168453.70682383375
5.4,9,75,75,58,197325,163.20059166575305,191446.46505803923
2.4,15,135,135,52,147325,208.11117100754907,196592.27902099988
4.2,9,75,75,72,112325,130.17504456237356,183713.20695503216
4.7,10,90,90,58,113325,163.9832476484828,197442.14430180963
6.7,7,65,65,64,145325,144.7369125051717,187104.79011317427
6.7,15,135,135,44,199325,446.9065776153313,237676.1741550157
5.9,8,70,70,66,165325,151.58818604917528,189853.13456177962
4.6,9,80,80,68,188325,158.58178920423487,187337.28229124716
2.7,7,60,60,66,156325,95.45624560372477,164754.14425955727
1.5,7,65,65,70,127325,86.70174277141659,171195.9775044457
1.7,14,125,125,46,121325,174.07400172672766,185886.57076708716
2.2,12,105,105,76,155325,156.0601900689748,178781.22246113874
2.4,14,125,125,58,125325,186.63252085360168,192820.78177684467
2.3,10,90,90,54,178325,141.40150713147202,172911.07694073967
2.8,7,60,60,74,183325,98.48954166396136,166133.7347318835
1.8,15,135,135,66,115325,184.63415765868822,192829.45649727102
2.5,17,145,145,40,104325,216.70841519885553,202530.41063596046
6.9,9,80,80,44,148325,184.87780718060222,202972.6199163088
5.4,14,120,120,76,167325,248.80211498687123,224237.6992710829
4.0,16,140,140,86,196325,357.30509113398796,209710.66957051327
6.1,11,95,95,60,151325,206.3733641668925,215076.36119675374
5.5,10,90,90,74,124325,176.33648332418588,199112.2921470147
3.8,15,130,130,48,135325,228.68928113289107,210110.32812660697
5.2,9,75,75,66,197325,159.537533337598,189582.76581868238
2.4,10,85,85,68,143325,128.7178325383071,172802.45488714532
4.1,11,100,100,64,114325,172.22389745814715,196809.14889901294
3.2,5,40,40,46,126325,66.10418024551275,158654.0591693788
3.1,11,100,100,74,189325,233.0970128113959,182400.7962795369
4.7,6,50,50,60,111325,91.45147677314043,170130.25343049987
5.3,15,135,135,50,157325,277.4908302335499,231972.9593531668
6.1,5,45,45,64,120325,92.45536902204488,165890.45104472365
3.0,8,70,70,40,141325,115.48691906841486,166379.76242260268
1.1,7,60,60,84,108325,73.18727904841025,191944.00826997773
5.2,10,90,90,82,170325,182.32162883044083,199978.00478671896
2.7,14,125,125,46,160325,203.01214834904698,194694.86396194878
3.7,6,50,50,50,187325,92.56916694243458,161754.73163007
1.7,12,105,105,78,157325,146.9827852707554,180127.73132635764
5.3,3,30,30,72,172325,83.66004649912246,158116.8079588184
5.0,4,35,35,68,180325,71.40434601049192,160622.681611091
